"Code";"Item";"Value"
"20181023-184920";"Tokens";8
"20181023-184920";"Scraps";55
"20181023-211314";"Tokens";8
"20181023-211314";"Scraps";31
"20181023-222411";"Tokens";14
"20181023-222411";"Scraps";33
"20181023-232704";"Tokens";13
"20181023-232704";"Scraps";41
"20181024-002945";"Scraps";29
"20181024-072326";"Tokens";12
"20181024-072326";"Scraps";26
"20181024-091324";"Tokens";10
"20181024-091324";"Scraps";38
"20181024-101534";"Tokens";9
"20181024-101534";"Scraps";42
"20181024-111620";"Tokens";11
"20181024-111620";"Scraps";27
"20181024-121842";"Tokens";12
"20181024-121842";"Scraps";39
"20181024-140837";"Tokens";12
"20181024-140837";"Scraps";38
"20181024-152408";"Tokens";11
"20181024-152408";"Scraps";51
"20181024-162216";"Tokens";14
"20181024-162216";"Scraps";45
"20181024-173027";"Tokens";8
"20181024-173027";"Scraps";56
"20181024-183319";"Tokens";5
"20181024-183319";"Scraps";52
"20181024-204218";"Tokens";9
"20181024-204218";"Scraps";55
"20181024-214527";"Tokens";7
"20181024-214527";"Scraps";33
"20181024-235137";"Tokens";12
"20181024-235137";"Scraps";38
"20181025-083843";"Tokens";7
"20181025-083843";"Scraps";33
"20181025-094831";"Tokens";14
"20181025-094831";"Scraps";29
"20181025-105028";"Tokens";14
"20181025-105028";"Scraps";20
"20181025-115623";"Tokens";5
"20181025-115623";"Scraps";46
"20181025-125734";"Tokens";12
"20181025-125734";"Scraps";21
"20181025-140427";"Tokens";12
"20181025-140427";"Scraps";28
"20181025-151304";"Tokens";5
"20181025-151304";"Scraps";42
"20181025-161510";"Tokens";12
"20181025-161510";"Scraps";53
"20181025-171901";"Tokens";6
"20181025-171901";"Scraps";39
"20181025-200114";"Tokens";9
"20181025-200114";"Scraps";54
"20181025-213404";"Tokens";10
"20181025-213404";"Scraps";52
"20181025-232536";"Tokens";8
"20181025-232536";"Scraps";26
"20181026-002758";"Tokens";5
"20181026-002758";"Scraps";29
"20181026-083031";"Tokens";7
"20181026-083031";"Scraps";39
"20181026-093058";"Tokens";9
"20181026-093058";"Scraps";50
"20181026-103325";"Tokens";11
"20181026-103325";"Scraps";31
"20181026-115005";"Tokens";7
"20181026-115005";"Scraps";58
"20181026-125752";"Tokens";6
"20181026-125752";"Scraps";32
"20181026-135857";"Tokens";14
"20181026-135857";"Scraps";54
"20181026-150034";"Tokens";9
"20181026-150034";"Scraps";21
"20181026-160704";"Tokens";9
"20181026-160704";"Scraps";26
"20181026-173915";"Tokens";9
"20181026-173915";"Scraps";34
"20181026-184010";"Tokens";6
